id,title,text
1217,The Fabulous Senorita,"The Fabulous Senorita is a 1952 American musical comedy film directed by R.G. Springsteen and starring Estelita Rodriguez, Robert Clarke and Nestor Paiva. The film came at the tail- end of a cycle of Latin American- themed films, through it did introduce a new star Rita Moreno."
1218,The Night of Nights,"The Night of Nights is a 1939 black- and- white drama film written by Donald Ogden Stewart and directed by Lewis Milestone for Paramount Pictures that starred Pat O' Brien, Olympe Bradna, and Roland Young. The film received positive contemporary reviews from publications such as"" The New York Times"". Director Milestone went on to other successful productions after the film came out, including"" Ocean's 11"" and"" Pork Chop Hill"". The movie has no relation to the use of the phrase"" Night of Nights"" for the night of the Academy Awards ceremony, the album by musical group The Seekers, or the Touhou Project song."
1219,XX/XY,"XX/ XY is a 2002 American romantic drama film written and directed by Austin Chick and starring Mark Ruffalo, Kathleen Robertson, and Maya Stange. The title refers to the different chromosome pairings present in men and women. It was nominated for the Grand Jury Prize at the Sundance Film Festival in the year it was released. Although the funding for the film came from the US, the film was produced by British company Natural Nylon."
1220,Operation Leopard,"La légion saute sur Kolwezi also known as"" Operation Leopard"" is a French war film directed by Raoul Coutard filmed in French Guiana. The script is based on the true story of the Battle of Kolwezi that happened in 1978. It was diligently described in a book of the same name by former 1 REP Captain Pierre Sergent. He published his book in 1979; the film came out in 1980. Raoul Coutard shot the film in a documentary style."
1221,New Guy,New Guy or variants may refer to:
1222,Dead Man,"Dead Man is a 1995 American Western film written and directed by Jim Jarmusch. It stars Johnny Depp, Gary Farmer, Billy Bob Thornton, Iggy Pop, Crispin Glover, John Hurt, Michael Wincott, Lance Henriksen, Gabriel Byrne, Mili Avital and Robert Mitchum( in his final film role). The film, dubbed a"" Psychedelic Western"" by its director, includes twisted and surreal elements of the Western genre. The film is shot entirely in monochrome. Neil Young composed the guitar- dominated soundtrack with portions he improvised while watching the movie footage. It has been considered by many to be a premier postmodern Western. It has been compared to Cormac McCarthy's novel"" Blood Meridian""."
1223,Dead Man's Letters,"Dead Man's Letters , also known as Letters from a Dead Man, is a 1986 Soviet science fiction art film, feature film directorial debut by Konstantin Lopushansky. It was screened at the International Critics' Week section of the Cannes Film Festival in 1987. The film received the FIPRESCI prize at the 35th International Filmfestival Mannheim-Heidelberg."
1224,Dead Man's Evidence,Dead Man's Evidence is a 1962 British crime thriller film directed by Francis Searle.
1225,Dead man,"Dead man or Dead Man may refer to:"", a song by M. Ward from his album"" Transfiguration of Vincent"""
1226,All Over the Guy,All Over the Guy is a 2001 American gay-themed romantic comedy film directed by Julie Davis and written by Dan Bucatinsky.
1227,Dead Man Walking,Dead Man Walking or Dead Man Walkin or Dead Men Walking may refer to:
1228,Bad Guy,A bad guy or villain is a type of character in fiction and other narratives. Bad Guy or Bad Guys may also refer to:
1229,Dead Man's Hand (2007 film),Dead Man's Hand is a 2007 film directed by Charles Band.
1230,The Wonderful World of Captain Kuhio,The film was released in Japan on 10 October 2009.
1231,Buckaroo (song),"""Buckaroo"" is a song recorded by American country music artist Lee Ann Womack. It was released in April 1998 as the fourth single from the album ""Lee Ann Womack"". The song reached #27 on the ""Billboard"" Hot Country Singles & Tracks chart. The song was written by Ed Hill and Mark D. Sanders."
1232,Caspar Babypants,"Caspar Babypants is the stage name of children's music artist Chris Ballew, who is also widely known as the singer of The Presidents of the United States of America."
1233,Astrid North,"Astrid North( Astrid Karina North Radmann; 24 August 1973, Berlin – 25 June 2019, Berlin) was a German soul singer and songwriter. She was the singer of the German band, with whom she released five Albums. As guest singer of the band she published three albums."
1234,Kristian Leontiou,"Kristian Leontiou (born February 1982) is a British singer of Greek Cypriot descent, and is the singer for the indie rock band One eskimO."
1235,Billy Milano,"Billy Milano is a Bronx- born heavy metal musician now based in Austin, Texas. He is the singer and- occasionally- guitarist and bassist of crossover thrash band M.O.D., and he was also the singer of its predecessor, Stormtroopers of Death. He was also the singer of United Forces, which also featured his Stormtroopers of Death bandmate Dan Lilker."
1236,Another Girl,""" Another Girl"" is a song by the English rock band the Beatles from their 1965 album"" Help!"" and included in the film of the same name. The song was written by Paul McCartney but credited to Lennon – McCartney. The song is addressed to the singer's girlfriend, who is informed that the singer has found"" another girl."""
1237,Bernie Bonvoisin,"Bernard Bonvoisin, known as Bernie Bonvoisin( born 9 July 1956 in Nanterre, Hauts- de- Seine), is a French hard rock singer and film director. He is best known for having been the singer of Trust. He was one of the best friends of Bon Scott the singer of AC/ DC and together they recorded the song"" Ride On"" which was one of the last songs by Bon Scott."
1238,Lee Ann Womack,"Lee Ann Womack (pronounced ""WO-mak""; born August 19, 1966) is an American country music singer and songwriter. Her 2000 single, ""I Hope You Dance"" was a major crossover music hit, reaching No. 1 on the Billboard Country Chart and the Top 15 of the ""Billboard"" Hot 100, becoming her signature song. When Womack emerged as a contemporary country artist in 1997, her material resembled that of Dolly Parton and Tammy Wynette, except for the way Womack's music mixed an old-fashioned style with contemporary elements. Her 2000 album "" I Hope You Dance"" had an entirely different sound, using pop music elements instead of traditional country. It was not until the release of ""There's More Where That Came From"" in 2005 that Womack returned to recording traditional country music. After a hiatus in 2008, Womack returned in 2014 with a new album (""The Way I'm Livin'"") and a new sound which blended country and Americana. Womack has released a total of nine studio albums and two compilations. Four of her studio albums have received a Gold certification or higher by the Recording Industry Association of America. Additionally, she has received five Academy of Country Music Awards, six Country Music Association Awards, and a Grammy Award. She has sold over 6 million albums worldwide. Womack is the wife of record producer Frank Liddell, and ex-wife of songwriter and musician Jason Sellers; her daughter with the latter, Aubrie Sellers, is also a country music artist."
1239,Panda (Astro song),""" Panda"" is a song of the Chilean band Astro and is the fifth song of the homonymous album of the year 2011. The song was composed and produced by the singer of the band Andrés Nusser and released like third single of the album on February 1, 2013."
1240,O Valencia!,""" O Valencia!"" is the fifth single by the indie rock band The Decemberists, and the first released from their fourth studio album,"" The Crane Wife"". The music was written by The Decemberists and the lyrics by Colin Meloy. It tells a story of two star- crossed lovers. The singer falls in love with a person who belongs to an opposing gang. At the end of the song, the singer's lover jumps in to defend the singer, who is confronting his lover's brother( the singer's"" sworn enemy"") and is killed by the bullet intended for the singer."
1241,The Kiddies in the Ruins,"The Kiddies in the Ruins is a 1918 British silent war film directed by George Pearson and starring Emmy Lynn, Hugh E. Wright and Georges Colin. It was released two days after the Armistice that halted fighting in the First World War and depicts the lives of children living in war- devastated France."
1242,Brittany Curran,"Brittany Elizabeth Curran( born June 2, 1990) is an American film and television actress. Beginning as a child actress, she is known for her roles on the television series"" Men of a Certain Age"" and"" The Magicians"", and for the film"" Dear White People"". She won a Peabody Award for her work on"" Men of a Certain Age""."
1243,Brandon P. Bell,"Brandon P. Bell( born January 13, 1985) is an American actor, who is best known for his roles on the television series"" Hollywood Heights"" and"" Dear White People""."
1244,Ashley Blaine Featherson,"Ashley Blaine Featherson( 1987) is an American actress. She is best known as the co-creator and star of Black& SexyTV's"" Hello Cupid"". She currently stars as Joelle in the Netflix series"" Dear White People""."
1245,Jeremy Tardy,"Jeremy Tardy( born November 7, 1990) is an American actor best known for"" Dear White People"" on Netflix."
1246,George Pearson (filmmaker),"George Pearson( OBE),( 19 March 1875 – 6 February 1973) was a pioneering English film director, producer and screenwriter, mainly in the silent film era. He was born in London."
1247,Teyonah Parris,"Teyonah Parris( born September 22, 1987) is an American actress. She began her career playing a recurring role as Dawn Chambers in the AMC drama series,"" Mad Men""( 2012 – 15), before landing her breakthrough role in the 2014 independent film"" Dear White People"". In 2015, Parris starred in the satirical drama film"" Chi- Raq"" directed by Spike Lee."
